,address,type,datetime,latitude,longitude,report_location,incident_number
7156,850 Nw 45th St,Aid Response,2026-01-18T15:53:00.000,47.661465,-122.367159,"{'type': 'Point', 'coordinates': [-122.367159, 47.661465]}",F260008495
7157,1201 University St,Brush Fire,2026-01-18T15:49:00.000,47.611948,-122.325976,"{'type': 'Point', 'coordinates': [-122.325976, 47.611948]}",F260008492
7158,3300 Ne 65th St,2RED - 1 + 1,2026-01-18T15:45:00.000,47.675782,-122.292208,"{'type': 'Point', 'coordinates': [-122.292208, 47.675782]}",F260008490
7159,2611 S Dearborn St,Medic Response,2026-01-18T15:42:00.000,47.595541,-122.298643,"{'type': 'Point', 'coordinates': [-122.298643, 47.595541]}",F260008488
7160,4732 Brooklyn Ave Ne,Auto Alarm 1 + 1 + 1,2026-01-18T15:41:00.000,47.663288,-122.314235,"{'type': 'Point', 'coordinates': [-122.314235, 47.663288]}",F260008487
7161,1005 Terrace St,Aid Response,2026-01-18T15:40:00.000,47.604615,-122.32228,"{'type': 'Point', 'coordinates': [-122.32228, 47.604615]}",F260008486
7162,9999 Holman Rd Nw,Aid Response,2026-01-18T15:40:00.000,47.701637,-122.362244,"{'type': 'Point', 'coordinates': [-122.362244, 47.701637]}",F260008485
7163,3535 Interlake Ave N,Aid Response,2026-01-18T15:23:00.000,47.649676,-122.341384,"{'type': 'Point', 'coordinates': [-122.341384, 47.649676]}",F260008482
7164,5019 Roosevelt Way Ne,Aid Response,2026-01-18T15:18:00.000,47.665073,-122.317402,"{'type': 'Point', 'coordinates': [-122.317402, 47.665073]}",F260008480
7165,1315 Hubbell Pl,Medic Response,2026-01-18T15:13:00.000,47.610444,-122.330742,"{'type': 'Point', 'coordinates': [-122.330742, 47.610444]}",F260008479
7166,Sb I5 At 65,MVI - Motor Vehicle Incident,2026-01-18T15:05:00.000,47.670539,-122.322214,"{'type': 'Point', 'coordinates': [-122.322214, 47.670539]}",F260008477
7167,2613 Nw 67th St,Medic Response- 7 per Rule,2026-01-18T15:04:00.000,47.67767,-122.389854,"{'type': 'Point', 'coordinates': [-122.389854, 47.67767]}",F260008476
7168,Rainier Ave S / S Cloverdale St,Rubbish Fire,2026-01-18T14:58:00.000,47.526171,-122.269983,"{'type': 'Point', 'coordinates': [-122.269983, 47.526171]}",F260008474
7169,2014 E Yesler Way,2RED - 1 + 1,2026-01-18T14:57:00.000,47.601674,-122.306165,"{'type': 'Point', 'coordinates': [-122.306165, 47.601674]}",F260008472
7170,8551 GREENWOOD AVE N,Aid Response,2026-01-18T14:57:00.000,47.691539,-122.355307,"{'type': 'Point', 'coordinates': [-122.355307, 47.691539]}",F260008473
7171,1000 4th Ave,Aid Response,2026-01-18T14:56:00.000,47.606088,-122.332909,"{'type': 'Point', 'coordinates': [-122.332909, 47.606088]}",F260008471
7172,3859 Letitia Ave S,Aid Response,2026-01-18T14:52:00.000,47.568752,-122.291,"{'type': 'Point', 'coordinates': [-122.291, 47.568752]}",F260008469
7173,2119 3rd Ave,Aid Response,2026-01-18T14:51:00.000,47.613308,-122.342432,"{'type': 'Point', 'coordinates': [-122.342432, 47.613308]}",F260008468
7174,3501 Rainier Ave S,Aid Response,2026-01-18T14:50:00.000,47.571853,-122.293193,"{'type': 'Point', 'coordinates': [-122.293193, 47.571853]}",F260008467
7175,94 Pike St,Hang-Up- Aid,2026-01-18T14:49:00.000,47.608725,-122.340242,"{'type': 'Point', 'coordinates': [-122.340242, 47.608725]}",F260008464
7176,5403 16th Ave Sw,Aid Response,2026-01-18T14:40:00.000,47.553664,-122.354797,"{'type': 'Point', 'coordinates': [-122.354797, 47.553664]}",F260008463
7177,31st Ave S / S Morgan St,Crisis Center,2026-01-18T14:29:00.000,47.544343,-122.292594,"{'type': 'Point', 'coordinates': [-122.292594, 47.544343]}",F260008459
7178,1400 Hubbell Pl,Medic Response- 7 per Rule,2026-01-18T14:28:00.000,47.611543,-122.330225,"{'type': 'Point', 'coordinates': [-122.330225, 47.611543]}",F260008458
7179,Sb I5 At Mid Boeing Field,Rescue Extrication,2026-01-18T14:24:00.000,47.545461,-122.308073,"{'type': 'Point', 'coordinates': [-122.308073, 47.545461]}",F260008456
7180,400 Spring St,Medic Response,2026-01-18T14:21:00.000,47.606801,-122.333562,"{'type': 'Point', 'coordinates': [-122.333562, 47.606801]}",F260008454
7181,306 6th Ave S,Aid Response,2026-01-18T14:21:00.000,47.599981,-122.326357,"{'type': 'Point', 'coordinates': [-122.326357, 47.599981]}",F260008453
7182,13053 Roosevelt Way Ne,Automatic Fire Alarm Resd,2026-01-18T14:16:00.000,47.724103,-122.325074,"{'type': 'Point', 'coordinates': [-122.325074, 47.724103]}",F260008451
7183,4135 1st Ave Nw,Aid Response,2026-01-18T14:01:00.000,47.656824,-122.357581,"{'type': 'Point', 'coordinates': [-122.357581, 47.656824]}",F260008448
7184,409 W Dravus St,Investigate Out Of Service,2026-01-18T13:58:00.000,47.648181,-122.36231,"{'type': 'Point', 'coordinates': [-122.36231, 47.648181]}",F260008447
7185,815 33rd Ave E,Aid Response,2026-01-18T13:56:00.000,47.626262,-122.289533,"{'type': 'Point', 'coordinates': [-122.289533, 47.626262]}",F260008446
7186,1201 Terry Ave,Rescue Elevator,2026-01-18T13:52:00.000,47.610301,-122.327555,"{'type': 'Point', 'coordinates': [-122.327555, 47.610301]}",F260008445
7187,725 Pike St,Automatic Medical Alarm,2026-01-18T13:52:00.000,47.611725,-122.333071,"{'type': 'Point', 'coordinates': [-122.333071, 47.611725]}",F260008443
7188,3870 Montlake Blvd Ne,EVENT - Special Event,2026-01-18T13:49:00.000,47.651797,-122.303502,"{'type': 'Point', 'coordinates': [-122.303502, 47.651797]}",F260008442
7189,811 Maynard Ave S,Poison Control,2026-01-18T13:48:00.000,47.595741,-122.325068,"{'type': 'Point', 'coordinates': [-122.325068, 47.595741]}",F260008444
7190,935 Golf Dr S,Aid Response,2026-01-18T13:44:00.000,47.59407,-122.316226,"{'type': 'Point', 'coordinates': [-122.316226, 47.59407]}",F260008440
7191,725 9th Ave,Medic Response,2026-01-18T13:44:00.000,47.606444,-122.325563,"{'type': 'Point', 'coordinates': [-122.325563, 47.606444]}",F260008441
