,address,type,datetime,latitude,longitude,report_location,incident_number
0,140 4th Ave N,EVENT - Special Event,2026-02-11T13:03:00.000,47.619041,-122.348899,"{'type': 'Point', 'coordinates': [-122.348899, 47.619041]}",F260019911
1,NB I5 AT ALBRO,Aid Response Freeway,2026-02-11T12:53:00.000,47.542027,-122.303649,"{'type': 'Point', 'coordinates': [-122.303649, 47.542027]}",F260019908
2,3440 East Marginal Way S,Aid Response,2026-02-11T12:49:00.000,47.573305,-122.339696,"{'type': 'Point', 'coordinates': [-122.339696, 47.573305]}",F260019906
3,4th Ave / Pine St,EVENT - Special Event,2026-02-11T12:47:00.000,47.611207,-122.337592,"{'type': 'Point', 'coordinates': [-122.337592, 47.611207]}",F260019905
4,13000 Linden Ave N,Low Acuity Response,2026-02-11T12:42:00.000,47.723218,-122.348195,"{'type': 'Point', 'coordinates': [-122.348195, 47.723218]}",F260019902
5,1765 6th Ave S,Aid Response,2026-02-11T12:40:00.000,47.587559,-122.325971,"{'type': 'Point', 'coordinates': [-122.325971, 47.587559]}",F260019900
6,9th Ave / Alder St,Illegal Burn,2026-02-11T12:39:00.000,47.603415,-122.322791,"{'type': 'Point', 'coordinates': [-122.322791, 47.603415]}",F260019899
7,4th Ave / Pine St,EVENT - Special Event,2026-02-11T12:37:00.000,47.611207,-122.337592,"{'type': 'Point', 'coordinates': [-122.337592, 47.611207]}",F260019898
8,15th Ave Ne / Ne 89th St,MVI - Motor Vehicle Incident,2026-02-11T12:37:00.000,47.693069,-122.312174,"{'type': 'Point', 'coordinates': [-122.312174, 47.693069]}",F260019897
9,6727 RAINIER AVE S,Medic Response,2026-02-11T12:34:00.000,47.542238,-122.272642,"{'type': 'Point', 'coordinates': [-122.272642, 47.542238]}",F260019893
10,111 NE 80TH ST,Aid Response,2026-02-11T12:33:00.000,47.686844,-122.327785,"{'type': 'Point', 'coordinates': [-122.327785, 47.686844]}",F260019892
11,1226 Taylor Ave N,Aid Response Yellow,2026-02-11T12:30:00.000,47.629946,-122.346229,"{'type': 'Point', 'coordinates': [-122.346229, 47.629946]}",F260019890
12,199 27th Ave,Medic Response,2026-02-11T12:23:00.000,47.603181,-122.297855,"{'type': 'Point', 'coordinates': [-122.297855, 47.603181]}",F260019887
13,4th Ave / Denny Way,EVENT - Special Event,2026-02-11T12:17:00.000,47.618576,-122.348925,"{'type': 'Point', 'coordinates': [-122.348925, 47.618576]}",F260019885
14,5TH AVE / PINE ST,Aid Response,2026-02-11T12:15:00.000,47.611672,-122.336484,"{'type': 'Point', 'coordinates': [-122.336484, 47.611672]}",F260019884
15,3rd Ave / Cherry St,EVENT - Special Event,2026-02-11T12:14:00.000,47.603484,-122.332062,"{'type': 'Point', 'coordinates': [-122.332062, 47.603484]}",F260019882
16,3025 Ne 130th St,Aid Response,2026-02-11T12:14:00.000,47.7229,-122.29591,"{'type': 'Point', 'coordinates': [-122.29591, 47.7229]}",F260019883
17,3708 E Olive St,Aid Response,2026-02-11T12:12:00.000,47.616463,-122.285865,"{'type': 'Point', 'coordinates': [-122.285865, 47.616463]}",F260019881
18,5th Ave / Marion St,Aid Response,2026-02-11T12:10:00.000,47.605839,-122.331146,"{'type': 'Point', 'coordinates': [-122.331146, 47.605839]}",F260019880
19,4TH AVE S / S JACKSON ST,EVENT - Special Event,2026-02-11T12:08:00.000,47.599197,-122.328968,"{'type': 'Point', 'coordinates': [-122.328968, 47.599197]}",F260019879
20,303 S Jackson St,EVENT - Special Event,2026-02-11T12:03:00.000,47.599199,-122.330251,"{'type': 'Point', 'coordinates': [-122.330251, 47.599199]}",F260019876
21,3620 Phinney Ave N,Auto Fire Alarm,2026-02-11T12:03:00.000,47.652368,-122.354474,"{'type': 'Point', 'coordinates': [-122.354474, 47.652368]}",F260019877
22,3333 Wallingford Ave N,Aid Response,2026-02-11T12:02:00.000,47.647817,-122.336354,"{'type': 'Point', 'coordinates': [-122.336354, 47.647817]}",F260019874
23,4544 7th Ave Ne,Medic Response,2026-02-11T12:01:00.000,47.662004,-122.320724,"{'type': 'Point', 'coordinates': [-122.320724, 47.662004]}",F260019869
24,4TH AVE S / S MAIN ST,EVENT - Special Event,2026-02-11T12:01:00.000,47.600036,-122.328965,"{'type': 'Point', 'coordinates': [-122.328965, 47.600036]}",F260019872
25,310 4TH AVE S,EVENT - Special Event,2026-02-11T12:01:00.000,47.59995,-122.328965,"{'type': 'Point', 'coordinates': [-122.328965, 47.59995]}",F260019871
26,3643 35th Ave W,Aid Response,2026-02-11T11:59:00.000,47.652628,-122.40228,"{'type': 'Point', 'coordinates': [-122.40228, 47.652628]}",F260019868
27,1632 S Weller St,Aid Response,2026-02-11T11:57:00.000,47.597488,-122.311161,"{'type': 'Point', 'coordinates': [-122.311161, 47.597488]}",F260019866
28,555 16th Ave,Aid Response,2026-02-11T11:54:00.000,47.606687,-122.31155,"{'type': 'Point', 'coordinates': [-122.31155, 47.606687]}",F260019864
29,4th Ave / Wall St,EVENT - Special Event,2026-02-11T11:49:00.000,47.616691,-122.346171,"{'type': 'Point', 'coordinates': [-122.346171, 47.616691]}",F260019861
30,206 3rd Ave S,Medic Response,2026-02-11T11:45:00.000,47.600825,-122.330272,"{'type': 'Point', 'coordinates': [-122.330272, 47.600825]}",F260019859
31,400 S Jackson St,EVENT - Special Event,2026-02-11T11:44:00.000,47.599197,-122.328968,"{'type': 'Point', 'coordinates': [-122.328968, 47.599197]}",F260019860
32,201 S Jackson St,Auto Fire Alarm,2026-02-11T11:38:00.000,47.599201,-122.331566,"{'type': 'Point', 'coordinates': [-122.331566, 47.599201]}",F260019856
33,4th Ave / Columbia St,EVENT - Special Event,2026-02-11T11:36:00.000,47.604662,-122.331604,"{'type': 'Point', 'coordinates': [-122.331604, 47.604662]}",F260019855
34,6014 S Hazel St,Aid Response,2026-02-11T11:33:00.000,47.504365,-122.25815,"{'type': 'Point', 'coordinates': [-122.25815, 47.504365]}",F260019853
35,1st Ave S / S Jackson St,Low Acuity Response,2026-02-11T11:31:00.000,47.599205,-122.334188,"{'type': 'Point', 'coordinates': [-122.334188, 47.599205]}",F260019849
36,5th Ave S / S Jackson St,EVENT - Special Event,2026-02-11T11:31:00.000,47.599195,-122.327667,"{'type': 'Point', 'coordinates': [-122.327667, 47.599195]}",F260019852
37,1431 Minor Ave,Aid Response,2026-02-11T11:25:00.000,47.613247,-122.327187,"{'type': 'Point', 'coordinates': [-122.327187, 47.613247]}",F260019846
38,925 Alaskan Way,Low Acuity Response,2026-02-11T11:23:00.000,47.603237,-122.337944,"{'type': 'Point', 'coordinates': [-122.337944, 47.603237]}",F260019845
39,1226 Taylor Ave N,Aid Response Yellow,2026-02-11T11:14:00.000,47.629946,-122.346229,"{'type': 'Point', 'coordinates': [-122.346229, 47.629946]}",F260019843
40,7930 Rainier Ave S,Ladder Code Red,2026-02-11T11:13:00.000,47.530717,-122.269989,"{'type': 'Point', 'coordinates': [-122.269989, 47.530717]}",F260019842
41,4416 Evanston Ave N,Aid Response,2026-02-11T11:12:00.000,47.660397,-122.351008,"{'type': 'Point', 'coordinates': [-122.351008, 47.660397]}",F260019841
42,1915 1st Ave,Aid Response,2026-02-11T11:09:00.000,47.610401,-122.341483,"{'type': 'Point', 'coordinates': [-122.341483, 47.610401]}",F260019839
43,1801 S Jackson St,Aid Response,2026-02-11T11:06:00.000,47.599239,-122.308955,"{'type': 'Point', 'coordinates': [-122.308955, 47.599239]}",F260019838
44,5th Ave N / Mercer St,Aid Response,2026-02-11T11:02:00.000,47.624495,-122.347568,"{'type': 'Point', 'coordinates': [-122.347568, 47.624495]}",F260019837
45,3927 Aurora Ave N,2RED - 1 + 1,2026-02-11T10:59:00.000,47.655051,-122.347373,"{'type': 'Point', 'coordinates': [-122.347373, 47.655051]}",F260019835
46,120 6th Ave S,Medic Response,2026-02-11T10:57:00.000,47.601539,-122.326352,"{'type': 'Point', 'coordinates': [-122.326352, 47.601539]}",F260019834
47,3rd Ave / Cherry St,EVENT - Special Event,2026-02-11T10:56:00.000,47.603484,-122.332062,"{'type': 'Point', 'coordinates': [-122.332062, 47.603484]}",F260019833
48,210 8th Ave N,Automatic Fire Alarm False,2026-02-11T10:50:00.000,47.619822,-122.341086,"{'type': 'Point', 'coordinates': [-122.341086, 47.619822]}",F260019832
49,4735 51st Pl Sw,Aid Response,2026-02-11T10:49:00.000,47.560564,-122.398274,"{'type': 'Point', 'coordinates': [-122.398274, 47.560564]}",F260019831
50,400 S Jackson St,EVENT - Special Event,2026-02-11T10:47:00.000,47.599197,-122.328968,"{'type': 'Point', 'coordinates': [-122.328968, 47.599197]}",F260019830
51,619 3rd Ave,Medic Response,2026-02-11T10:46:00.000,47.6029,-122.331529,"{'type': 'Point', 'coordinates': [-122.331529, 47.6029]}",F260019829
52,4295 Little Canoe Channel Ne,Aid Response,2026-02-11T10:40:00.000,47.659361,-122.30444,"{'type': 'Point', 'coordinates': [-122.30444, 47.659361]}",F260019827
53,600 5th Ave S,Aid Response,2026-02-11T10:39:00.000,47.597517,-122.327675,"{'type': 'Point', 'coordinates': [-122.327675, 47.597517]}",F260019826
54,1819 N 135th St,Aid Response,2026-02-11T10:37:00.000,47.726854,-122.336644,"{'type': 'Point', 'coordinates': [-122.336644, 47.726854]}",F260019824
55,11720 Greenwood Ave N,Medic Response,2026-02-11T10:35:00.000,47.714275,-122.355516,"{'type': 'Point', 'coordinates': [-122.355516, 47.714275]}",F260019823
56,4219 Wallingford Ave N,Engine Code Red,2026-02-11T10:34:00.000,47.658199,-122.336222,"{'type': 'Point', 'coordinates': [-122.336222, 47.658199]}",F260019822
57,6222 Ne 74th St,Medic Response,2026-02-11T10:34:00.000,47.682107,-122.26209,"{'type': 'Point', 'coordinates': [-122.26209, 47.682107]}",F260019821
58,1902 2nd Ave,Auto Fire Alarm,2026-02-11T10:32:00.000,47.610972,-122.340465,"{'type': 'Point', 'coordinates': [-122.340465, 47.610972]}",F260019820
59,500 S Lander St,Medic Response,2026-02-11T10:27:00.000,47.579809,-122.327192,"{'type': 'Point', 'coordinates': [-122.327192, 47.579809]}",F260019819
60,725 9th Ave,Medic Response,2026-02-11T10:19:00.000,47.606444,-122.325563,"{'type': 'Point', 'coordinates': [-122.325563, 47.606444]}",F260019815
61,223 Yesler Way,Aid Response,2026-02-11T10:19:00.000,47.601718,-122.331581,"{'type': 'Point', 'coordinates': [-122.331581, 47.601718]}",F260019816
62,1600 S Lane St,Medic Response,2026-02-11T10:17:00.000,47.59665,-122.311586,"{'type': 'Point', 'coordinates': [-122.311586, 47.59665]}",F260019814
63,108 2nd Ave S,Auto Fire Alarm,2026-02-11T10:16:00.000,47.601681,-122.331562,"{'type': 'Point', 'coordinates': [-122.331562, 47.601681]}",F260019813
64,110 Roy St,Aid Response,2026-02-11T10:16:00.000,47.625451,-122.355125,"{'type': 'Point', 'coordinates': [-122.355125, 47.625451]}",F260019812
65,3842 32nd Ave W,Aid Response,2026-02-11T10:16:00.000,47.654436,-122.398234,"{'type': 'Point', 'coordinates': [-122.398234, 47.654436]}",F260019811
66,8202 41st Ave Ne,Aid Response Yellow,2026-02-11T10:13:00.000,47.688428,-122.2843,"{'type': 'Point', 'coordinates': [-122.2843, 47.688428]}",F260019809
67,939 Golf Dr S,Medic Response,2026-02-11T10:12:00.000,47.594053,-122.316198,"{'type': 'Point', 'coordinates': [-122.316198, 47.594053]}",F260019808
68,7138 34th Ave Sw,Medic Response,2026-02-11T10:08:00.000,47.538864,-122.375239,"{'type': 'Point', 'coordinates': [-122.375239, 47.538864]}",F260019807
69,403 S Trenton St,Aid Response,2026-02-11T10:04:00.000,47.52459,-122.329667,"{'type': 'Point', 'coordinates': [-122.329667, 47.52459]}",F260019804
70,7th Ave S / S King St,Aid Response,2026-02-11T10:03:00.000,47.59835,-122.323754,"{'type': 'Point', 'coordinates': [-122.323754, 47.59835]}",F260019805
71,300 E PIKE ST,Aid Response,2026-02-11T09:58:00.000,47.61393,-122.327805,"{'type': 'Point', 'coordinates': [-122.327805, 47.61393]}",F260019802
72,1911 22nd Ave S,Medic Response- Overdose,2026-02-11T09:56:00.000,47.586234,-122.304237,"{'type': 'Point', 'coordinates': [-122.304237, 47.586234]}",F260019800
73,4800 Sand Point Way Ne,Auto Fire Alarm,2026-02-11T09:54:00.000,47.664275,-122.283475,"{'type': 'Point', 'coordinates': [-122.283475, 47.664275]}",F260019799
74,2709 3rd Ave,Aid Response,2026-02-11T09:51:00.000,47.617176,-122.348974,"{'type': 'Point', 'coordinates': [-122.348974, 47.617176]}",F260019798
75,NW 85TH ST / 21ST AVE NW,Medic Response,2026-02-11T09:47:00.000,47.690589,-122.383272,"{'type': 'Point', 'coordinates': [-122.383272, 47.690589]}",F260019796
76,6760 34th Ave Sw,Auto Fire Alarm,2026-02-11T09:46:00.000,47.542303,-122.375157,"{'type': 'Point', 'coordinates': [-122.375157, 47.542303]}",F260019795
77,1851 Ne Grant Ln,Aid Response,2026-02-11T09:45:00.000,47.65511,-122.308586,"{'type': 'Point', 'coordinates': [-122.308586, 47.65511]}",F260019794
78,2nd Ave / Blanchard St,EVENT - Special Event,2026-02-11T09:44:00.000,47.613271,-122.344353,"{'type': 'Point', 'coordinates': [-122.344353, 47.613271]}",F260019793
79,140 23rd Ave S,Medic Response- 7 per Rule,2026-02-11T09:39:00.000,47.601407,-122.302235,"{'type': 'Point', 'coordinates': [-122.302235, 47.601407]}",F260019791
80,1105 E Fir St,Aid Response,2026-02-11T09:36:00.000,47.602688,-122.318034,"{'type': 'Point', 'coordinates': [-122.318034, 47.602688]}",F260019789
81,3rd Ave S / S Washington St,EVENT - Special Event,2026-02-11T09:31:00.000,47.600877,-122.330268,"{'type': 'Point', 'coordinates': [-122.330268, 47.600877]}",F260019787
82,589 Occidental Ave S,Aid Response,2026-02-11T09:20:00.000,47.597449,-122.333265,"{'type': 'Point', 'coordinates': [-122.333265, 47.597449]}",F260019786
83,5th Ave S / S Weller St,EVENT - Special Event,2026-02-11T09:19:00.000,47.597517,-122.327675,"{'type': 'Point', 'coordinates': [-122.327675, 47.597517]}",F260019785
84,3028 1st Ave,Aid Response,2026-02-11T09:16:00.000,47.618021,-122.354377,"{'type': 'Point', 'coordinates': [-122.354377, 47.618021]}",F260019784
85,8045 31st Ave Nw,Medic Response,2026-02-11T09:15:00.000,47.687065,-122.397019,"{'type': 'Point', 'coordinates': [-122.397019, 47.687065]}",F260019783
86,E Pine St / Summit Ave,Aid Response,2026-02-11T09:14:00.000,47.615219,-122.325529,"{'type': 'Point', 'coordinates': [-122.325529, 47.615219]}",F260019781
87,4th Ave S / S Washington St,EVENT - Special Event,2026-02-11T09:14:00.000,47.600875,-122.328963,"{'type': 'Point', 'coordinates': [-122.328963, 47.600875]}",F260019782
88,4412 Rainier Ave S,Aid Response,2026-02-11T09:08:00.000,47.563939,-122.288143,"{'type': 'Point', 'coordinates': [-122.288143, 47.563939]}",F260019780
89,Nw 45th St / Leary Way Nw,RV Fire,2026-02-11T09:07:00.000,47.661465,-122.367159,"{'type': 'Point', 'coordinates': [-122.367159, 47.661465]}",F260019779
90,3620 Sw Alaska St,Aid Response,2026-02-11T09:04:00.000,47.561072,-122.377709,"{'type': 'Point', 'coordinates': [-122.377709, 47.561072]}",F260019777
91,3618 SW ALASKA ST,Aid Response,2026-02-11T09:03:00.000,47.561072,-122.377682,"{'type': 'Point', 'coordinates': [-122.377682, 47.561072]}",F260019776
92,510 Minor Ave N,Auto Fire Alarm,2026-02-11T08:55:00.000,47.623222,-122.333001,"{'type': 'Point', 'coordinates': [-122.333001, 47.623222]}",F260019772
93,223 Taylor Ave N,Aid Response,2026-02-11T08:53:00.000,47.619997,-122.346304,"{'type': 'Point', 'coordinates': [-122.346304, 47.619997]}",F260019771
94,3rd Ave / Marion St,EVENT - Special Event,2026-02-11T08:51:00.000,47.604911,-122.333366,"{'type': 'Point', 'coordinates': [-122.333366, 47.604911]}",F260019770
95,6040 Ann Arbor Ave Ne,Aid Response,2026-02-11T08:42:00.000,47.673395,-122.27591,"{'type': 'Point', 'coordinates': [-122.27591, 47.673395]}",F260019768
96,1st Ave S / S Holgate St,MVI - Motor Vehicle Incident,2026-02-11T08:38:00.000,47.586104,-122.334198,"{'type': 'Point', 'coordinates': [-122.334198, 47.586104]}",F260019766
97,3rd Ave / University St,EVENT - Special Event,2026-02-11T08:36:00.000,47.607763,-122.335976,"{'type': 'Point', 'coordinates': [-122.335976, 47.607763]}",F260019765
98,Highland Dr / Dexter Ave N,Aid Response,2026-02-11T08:36:00.000,47.62972,-122.342304,"{'type': 'Point', 'coordinates': [-122.342304, 47.62972]}",F260019764
99,9000 Rainier Ave S,Aid Response,2026-02-11T08:35:00.000,47.523307,-122.269986,"{'type': 'Point', 'coordinates': [-122.269986, 47.523307]}",F260019763
100,2720 Ne 85th St,Auto Fire Alarm,2026-02-11T08:31:00.000,47.690248,-122.298446,"{'type': 'Point', 'coordinates': [-122.298446, 47.690248]}",F260019761
101,4th Ave S / S Washington St,EVENT - Special Event,2026-02-11T08:30:00.000,47.600875,-122.328963,"{'type': 'Point', 'coordinates': [-122.328963, 47.600875]}",F260019760
102,6900 37th Ave S,Aid Response,2026-02-11T08:30:00.000,47.540654,-122.286239,"{'type': 'Point', 'coordinates': [-122.286239, 47.540654]}",F260019759
103,4th Ave S / 2nd Ave Et S,EVENT - Special Event,2026-02-11T08:26:00.000,47.598422,-122.32897,"{'type': 'Point', 'coordinates': [-122.32897, 47.598422]}",F260019758
104,116 Fairview Ave N,Aid Response,2026-02-11T08:23:00.000,47.618693,-122.334256,"{'type': 'Point', 'coordinates': [-122.334256, 47.618693]}",F260019756
105,2012 Ne 45th St,Auto Fire Alarm,2026-02-11T08:10:00.000,47.661257,-122.306399,"{'type': 'Point', 'coordinates': [-122.306399, 47.661257]}",F260019754
106,7016 Dibble Ave Nw,Automatic Fire Alarm Resd,2026-02-11T08:10:00.000,47.679645,-122.367271,"{'type': 'Point', 'coordinates': [-122.367271, 47.679645]}",F260019753
107,4103 2nd Ave S,Medic Response,2026-02-11T08:06:00.000,47.567207,-122.331979,"{'type': 'Point', 'coordinates': [-122.331979, 47.567207]}",F260019752
108,210 Alaskan Way S,Aid Response,2026-02-11T07:57:00.000,47.600593,-122.335915,"{'type': 'Point', 'coordinates': [-122.335915, 47.600593]}",F260019751
109,2030 3rd Ave,Aid Response,2026-02-11T07:54:00.000,47.612626,-122.341277,"{'type': 'Point', 'coordinates': [-122.341277, 47.612626]}",F260019750
110,11151 Beacon Ave S,Medic Response,2026-02-11T07:52:00.000,47.500392,-122.267345,"{'type': 'Point', 'coordinates': [-122.267345, 47.500392]}",F260019749
111,817 Hiawatha Pl S,Illegal Burn,2026-02-11T07:51:00.000,47.595624,-122.310028,"{'type': 'Point', 'coordinates': [-122.310028, 47.595624]}",F260019748
112,1st Ave N / Mercer St,Aid Response,2026-02-11T07:48:00.000,47.624578,-122.355404,"{'type': 'Point', 'coordinates': [-122.355404, 47.624578]}",F260019746
113,2nd Ave / Blanchard St,EVENT - Special Event,2026-02-11T07:48:00.000,47.613271,-122.344353,"{'type': 'Point', 'coordinates': [-122.344353, 47.613271]}",F260019747
114,6th Ave / Stewart St,EVENT - Special Event,2026-02-11T07:47:00.000,47.613622,-122.337015,"{'type': 'Point', 'coordinates': [-122.337015, 47.613622]}",F260019745
115,233 S Holden St,MVI - Motor Vehicle Incident,2026-02-11T07:45:00.000,47.534153,-122.331026,"{'type': 'Point', 'coordinates': [-122.331026, 47.534153]}",F260019744
116,650 Sw Campus Dr,EVENT - Special Event,2026-02-11T07:42:00.000,47.29567,-122.344357,"{'type': 'Point', 'coordinates': [-122.344357, 47.29567]}",V260019742
117,400 S Washington St,EVENT - Special Event,2026-02-11T07:24:00.000,47.600875,-122.328963,"{'type': 'Point', 'coordinates': [-122.328963, 47.600875]}",F260019740
118,900 University St,Aid Response,2026-02-11T07:16:00.000,47.61055,-122.329318,"{'type': 'Point', 'coordinates': [-122.329318, 47.61055]}",F260019737
119,3rd Ave / James St,Rescue Elevator,2026-02-11T07:14:00.000,47.602769,-122.331409,"{'type': 'Point', 'coordinates': [-122.331409, 47.602769]}",F260019736
120,800 Occidental Ave S,EVENT - Special Event,2026-02-11T07:10:00.000,47.595692,-122.333273,"{'type': 'Point', 'coordinates': [-122.333273, 47.595692]}",F260019735
121,4609 S Victor St,Aid Response,2026-02-11T07:10:00.000,47.510217,-122.275091,"{'type': 'Point', 'coordinates': [-122.275091, 47.510217]}",F260019734
122,3200 Ne 45th St,Aid Response,2026-02-11T07:06:00.000,47.661243,-122.292864,"{'type': 'Point', 'coordinates': [-122.292864, 47.661243]}",F260019733
123,509 3rd Ave,Auto Fire Alarm,2026-02-11T06:39:00.000,47.602114,-122.330809,"{'type': 'Point', 'coordinates': [-122.330809, 47.602114]}",F260019728
124,3RD AVE / STEWART ST,Aid Response,2026-02-11T06:37:00.000,47.611629,-122.339592,"{'type': 'Point', 'coordinates': [-122.339592, 47.611629]}",F260019727
125,Pike St / Boren Ave,Medic Response- 6 per Rule,2026-02-11T06:31:00.000,47.613466,-122.328913,"{'type': 'Point', 'coordinates': [-122.328913, 47.613466]}",F260019725
126,1267 Hubbell Pl,Illegal Burn,2026-02-11T06:07:00.000,47.609798,-122.330765,"{'type': 'Point', 'coordinates': [-122.330765, 47.609798]}",F260019720
127,1100 Minor Ave,Aid Response,2026-02-11T06:04:00.000,47.610516,-122.324681,"{'type': 'Point', 'coordinates': [-122.324681, 47.610516]}",F260019719
128,913 S Jackson St,Aid Response,2026-02-11T06:00:00.000,47.59919,-122.320841,"{'type': 'Point', 'coordinates': [-122.320841, 47.59919]}",F260019717
129,116 Stewart St,Medic Response,2026-02-11T05:52:00.000,47.610387,-122.341198,"{'type': 'Point', 'coordinates': [-122.341198, 47.610387]}",F260019716
130,Rainier Ave S / S King St,Rubbish Fire,2026-02-11T05:51:00.000,47.598331,-122.313407,"{'type': 'Point', 'coordinates': [-122.313407, 47.598331]}",F260019714
131,3rd Ave / Yesler Way,Rubbish Fire,2026-02-11T05:49:00.000,47.601716,-122.330265,"{'type': 'Point', 'coordinates': [-122.330265, 47.601716]}",F260019713
132,1200 Western Ave,Aid Response,2026-02-11T05:48:00.000,47.605657,-122.338654,"{'type': 'Point', 'coordinates': [-122.338654, 47.605657]}",F260019712
133,3rd Ave / Virginia St,Aid Response,2026-02-11T05:44:00.000,47.612398,-122.340892,"{'type': 'Point', 'coordinates': [-122.340892, 47.612398]}",F260019710
134,2821 Beacon Ave S,Medic Response,2026-02-11T05:31:00.000,47.578447,-122.311431,"{'type': 'Point', 'coordinates': [-122.311431, 47.578447]}",F260019708
135,12505 Greenwood Ave N,Aid Response,2026-02-11T05:28:00.000,47.719638,-122.355539,"{'type': 'Point', 'coordinates': [-122.355539, 47.719638]}",F260019707
136,305 Harrison St,Medic Response,2026-02-11T05:16:00.000,47.622089,-122.351371,"{'type': 'Point', 'coordinates': [-122.351371, 47.622089]}",F260019706
137,1641 Nagle Pl,1RED 1 Unit,2026-02-11T05:16:00.000,47.615723,-122.320024,"{'type': 'Point', 'coordinates': [-122.320024, 47.615723]}",F260019705
138,600 5th Ave S,Aid Response,2026-02-11T05:14:00.000,47.597517,-122.327675,"{'type': 'Point', 'coordinates': [-122.327675, 47.597517]}",F260019703
139,2024 3rd Ave,Medic Response,2026-02-11T05:02:00.000,47.612578,-122.341197,"{'type': 'Point', 'coordinates': [-122.341197, 47.612578]}",F260019702
140,4751 19th Ave Ne,Crisis Center,2026-02-11T05:01:00.000,47.663355,-122.307213,"{'type': 'Point', 'coordinates': [-122.307213, 47.663355]}",F260019701
141,924 N 143rd St,Aid Response,2026-02-11T04:55:00.000,47.732314,-122.346635,"{'type': 'Point', 'coordinates': [-122.346635, 47.732314]}",F260019700
142,1720 E Olive St,Aid Response,2026-02-11T04:46:00.000,47.616442,-122.309884,"{'type': 'Point', 'coordinates': [-122.309884, 47.616442]}",F260019698
143,1707 N 125th St,Alarm Bell,2026-02-11T04:27:00.000,47.719571,-122.338524,"{'type': 'Point', 'coordinates': [-122.338524, 47.719571]}",F260019696
144,511 S Dearborn St,Aid Response,2026-02-11T04:26:00.000,47.595814,-122.327535,"{'type': 'Point', 'coordinates': [-122.327535, 47.595814]}",F260019694
145,425 S Jackson St,Aid Response,2026-02-11T03:59:00.000,47.599196,-122.328636,"{'type': 'Point', 'coordinates': [-122.328636, 47.599196]}",F260019692
146,1722 19th Ave,Aid Response Yellow,2026-02-11T03:50:00.000,47.61692,-122.307407,"{'type': 'Point', 'coordinates': [-122.307407, 47.61692]}",F260019690
147,5th Ave S / S Jackson St,Aid Response,2026-02-11T03:19:00.000,47.599195,-122.327667,"{'type': 'Point', 'coordinates': [-122.327667, 47.599195]}",F260019687
148,3939 S Othello St,Aid Response,2026-02-11T03:17:00.000,47.537045,-122.282811,"{'type': 'Point', 'coordinates': [-122.282811, 47.537045]}",F260019686
149,710 Cherry St,Aid Response,2026-02-11T02:59:00.000,47.605387,-122.327511,"{'type': 'Point', 'coordinates': [-122.327511, 47.605387]}",F260019683
150,710 CHERRY ST,Aid Response,2026-02-11T02:58:00.000,47.605387,-122.327511,"{'type': 'Point', 'coordinates': [-122.327511, 47.605387]}",F260019684
151,1100 N 115th St,Medic Response,2026-02-11T02:33:00.000,47.712319,-122.344814,"{'type': 'Point', 'coordinates': [-122.344814, 47.712319]}",F260019679
152,811 Maynard Ave S,Aid Response,2026-02-11T02:31:00.000,47.595741,-122.325068,"{'type': 'Point', 'coordinates': [-122.325068, 47.595741]}",F260019678
153,6025 Lanham Pl Sw,Aid Response,2026-02-11T02:21:00.000,47.548171,-122.373688,"{'type': 'Point', 'coordinates': [-122.373688, 47.548171]}",F260019674
154,9201 Rainier Ave S,Aid Response,2026-02-11T02:19:00.000,47.52101,-122.269997,"{'type': 'Point', 'coordinates': [-122.269997, 47.52101]}",F260019673
155,Wallingford Ave N / N 45th St,Illegal Burn,2026-02-11T02:18:00.000,47.661386,-122.336294,"{'type': 'Point', 'coordinates': [-122.336294, 47.661386]}",F260019672
156,1100 N 115TH ST,Aid Response,2026-02-11T02:16:00.000,47.712319,-122.344814,"{'type': 'Point', 'coordinates': [-122.344814, 47.712319]}",F260019670
157,Pine St / 5th Ave,Aid Response,2026-02-11T02:13:00.000,47.611672,-122.336484,"{'type': 'Point', 'coordinates': [-122.336484, 47.611672]}",F260019669
158,2209 1st Ave,Aid Response,2026-02-11T02:09:00.000,47.612669,-122.345319,"{'type': 'Point', 'coordinates': [-122.345319, 47.612669]}",F260019668
159,1511 Dexter Ave N,Aid Response,2026-02-11T02:05:00.000,47.632618,-122.342281,"{'type': 'Point', 'coordinates': [-122.342281, 47.632618]}",F260019667
160,2415 Western Ave,Aid Response,2026-02-11T01:55:00.000,47.613559,-122.348806,"{'type': 'Point', 'coordinates': [-122.348806, 47.613559]}",F260019665
161,230 8th Ave N,Aid Response Yellow,2026-02-11T01:53:00.000,47.620061,-122.341084,"{'type': 'Point', 'coordinates': [-122.341084, 47.620061]}",F260019662
162,1457 S Columbian Way,Aid Response,2026-02-11T01:45:00.000,47.571262,-122.314372,"{'type': 'Point', 'coordinates': [-122.314372, 47.571262]}",F260019660
163,10600 1st Ave Ne,Aid Response Yellow,2026-02-11T01:43:00.000,47.705904,-122.328571,"{'type': 'Point', 'coordinates': [-122.328571, 47.705904]}",F260019659
164,3rd Ave / Lenora St,Rubbish Fire,2026-02-11T01:28:00.000,47.613167,-122.342193,"{'type': 'Point', 'coordinates': [-122.342193, 47.613167]}",F260019656
165,7015 58th Ave Ne,Aid Response Yellow,2026-02-11T01:25:00.000,47.679813,-122.265955,"{'type': 'Point', 'coordinates': [-122.265955, 47.679813]}",F260019655
